,Player,Match_played,Starts,Minutes_played,goals,assist,Shots,shots_on_target,non_penalty_goals,penalty_goal,yellow_card,red_card,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
22,Angel Correa,1,0,5,0,0,0,0,0,0,0,0,3.0,3.0,100.0,1.0,1,0.0,0,1.0,6.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,MF,27,Spain,Atlatico Madrid,Argentina
23,Juan Foyth,1,0,5,0,0,0,0,0,0,0,0,3.0,4.0,75.0,0.0,0,0.0,0,0.0,5.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,24,Spain,Villarreal,Argentina
24,Auraolien Tchouameni,7,7,621,1,0,6,2,1,0,1,0,424.0,474.0,89.5,11.0,4,3.0,14,6.0,532.0,3.0,5.0,60.0,8,10,0,3,0.0,1.0,0,5.0,2.0,MF,22,Spain,Real Madrid,France
25,Kylian Mbappe,7,6,598,8,2,29,11,6,2,0,0,173.0,229.0,75.5,0.0,0,0.0,0,0.0,322.0,25.0,52.0,48.1,7,7,6,25,0.0,0.0,0,1.0,4.0,FW,23,France,Paris SG,France
26,Hugo Lloris,6,6,570,0,0,0,0,0,0,0,0,110.0,182.0,60.4,0.0,0,0.0,0,3.0,202.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,3.0,0.0,GK,35,England,Tottenham,France
27,Antoine Griezmann,7,6,537,0,3,6,2,0,0,1,0,258.0,329.0,78.4,14.0,8,8.0,8,7.0,384.0,4.0,10.0,40.0,3,9,3,40,0.0,0.0,0,5.0,4.0,MF,31,Spain,Atlatico Madrid,France
28,Raphael Varane,6,6,518,0,0,3,0,0,0,0,0,256.0,286.0,89.5,1.0,0,4.0,6,15.0,321.0,1.0,1.0,100.0,1,1,1,1,0.0,0.0,0,4.0,5.0,DF,29,England,Manchester Utd,France
29,Ousmane Dembele,7,6,433,0,2,8,2,0,0,1,0,145.0,192.0,75.5,11.0,6,3.0,2,0.0,244.0,9.0,23.0,39.1,6,3,2,19,0.0,1.0,0,2.0,1.0,FW,25,Spain,Barcelona,France
30,Olivier Giroud,6,6,419,4,0,16,6,4,0,1,0,48.0,74.0,64.9,1.0,0,1.0,1,5.0,111.0,0.0,0.0,0.0,2,4,3,0,0.0,0.0,0,19.0,13.0,FW,35,Italy,Milan,France
31,Theo Hernandez,6,5,508,1,2,5,2,1,0,1,0,289.0,339.0,85.3,16.0,13,5.0,4,8.0,386.0,2.0,5.0,40.0,6,13,0,13,0.0,1.0,0,8.0,4.0,DF,24,Italy,Milan,France
32,Adrien Rabiot,6,5,483,1,1,9,4,1,0,1,0,237.0,284.0,83.5,12.0,9,12.0,10,6.0,352.0,2.0,5.0,40.0,10,4,0,7,0.0,0.0,0,15.0,8.0,MF,27,Italy,Juventus,France
33,Jules Koundao,6,5,480,0,0,4,1,0,0,1,0,252.0,311.0,81.0,11.0,8,7.0,5,8.0,352.0,3.0,4.0,75.0,5,2,0,2,0.0,0.0,0,5.0,8.0,DF,23,Spain,Barcelona,France
34,Dayot Upamecano,5,5,480,0,0,1,0,0,0,0,0,314.0,351.0,89.5,11.0,7,5.0,6,13.0,395.0,0.0,0.0,0.0,4,3,0,0,0.0,1.0,0,7.0,7.0,DF,23,Germany,Bayern Munich,France
35,Ibrahima Konatao,5,3,294,0,0,2,1,0,0,0,0,215.0,235.0,91.5,15.0,6,5.0,7,16.0,278.0,0.0,0.0,0.0,2,4,0,1,0.0,0.0,0,5.0,1.0,DF,23,England,Liverpool,France
36,Youssouf Fofana,6,2,227,0,0,4,0,0,0,0,0,96.0,112.0,85.7,8.0,5,6.0,3,0.0,138.0,2.0,2.0,100.0,3,1,0,0,0.0,0.0,0,1.0,1.0,MF,23,France,Monaco,France
37,Randal Kolo Muani,3,1,182,1,0,4,2,1,0,0,0,25.0,43.0,58.1,7.0,5,1.0,1,1.0,75.0,3.0,10.0,30.0,4,5,0,1,1.0,0.0,0,9.0,5.0,FW,23,Germany,Eint Frankfurt,France
38,Kingsley Coman,6,1,169,0,0,1,0,0,0,0,0,56.0,72.0,77.8,3.0,2,3.0,2,1.0,102.0,6.0,11.0,54.5,1,2,0,13,0.0,0.0,0,2.0,4.0,FWMF,26,Germany,Bayern Munich,France
39,Eduardo Camavinga,2,1,140,0,0,0,0,0,0,0,0,88.0,101.0,87.1,14.0,9,4.0,3,6.0,141.0,1.0,6.0,16.7,2,8,0,2,0.0,0.0,0,2.0,0.0,DF,19,Spain,Real Madrid,France
40,Axel Disasi,3,1,92,0,0,1,0,0,0,0,0,61.0,78.0,78.2,3.0,2,0.0,3,4.0,91.0,1.0,2.0,50.0,0,1,0,2,0.0,0.0,0,4.0,0.0,DF,24,France,Monaco,France
41,Steve Mandanda,1,1,90,0,0,0,0,0,0,0,0,19.0,31.0,61.3,0.0,0,0.0,0,0.0,32.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,37,France,Rennes,France
42,Benjamin Pavard,1,1,88,0,0,0,0,0,0,0,0,82.0,90.0,91.1,0.0,0,3.0,1,0.0,94.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,DF,26,Germany,Bayern Munich,France
43,Mattao Guendouzi,1,1,78,0,0,0,0,0,0,0,0,27.0,33.0,81.8,1.0,1,0.0,0,0.0,37.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,1.0,0.0,FWMF,23,France,Marseille,France
44,Jordan Veretout,1,1,62,0,0,0,0,0,0,0,0,33.0,36.0,91.7,2.0,0,0.0,0,2.0,43.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0,0.0,2.0,MF,29,France,Marseille,France
45,Lucas Hernandez,1,1,12,0,0,0,0,0,0,0,0,5.0,10.0,50.0,1.0,1,0.0,0,0.0,10.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0.0,0.0,DF,26,Germany,Bayern Munich,France
46,Marcus Thuram,5,0,151,0,2,1,0,0,0,1,0,27.0,40.0,67.5,3.0,2,2.0,0,2.0,74.0,6.0,12.0,50.0,3,5,1,1,0.0,0.0,0,8.0,9.0,FWMF,24,Germany,MGladbach,France
47,William Saliba,1,0,28,0,0,0,0,0,0,0,0,37.0,37.0,100.0,0.0,0,1.0,0,0.0,38.0,1.0,1.0,100.0,0,1,0,0,0.0,0.0,0,0.0,0.0,DF,21,England,Arsenal,France
