,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
151,Martinelli,4,3,0.0,0.0,34.0,45.0,75.6,2.0,1.0,1,2.0,0,2.0,1.0,0.0,72.0,3.0,10.0,30.0,2,3,1,5,0,1,0.0,0.0,0,0.0,2.0,FW,20.0,1.eng Arsenal,3,1,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
152,Gleison Bremer,1,0,0.0,,78.0,84.0,92.9,1.0,0.0,1,1.0,1,2.0,6.0,0.0,95.0,0.0,0.0,,2,0,0,0,1,1,0.0,0.0,0,5.0,0.0,DF,25.0,1.it Juventus,2,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
153,Gabriel Jesus,2,1,0.0,0.0,22.0,28.0,78.6,2.0,0.0,1,0.0,2,4.0,0.0,0.0,39.0,1.0,2.0,50.0,1,4,0,1,2,1,0.0,0.0,0,1.0,1.0,FW,25.0,1.eng Arsenal,3,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
154,Ederson,0,0,,,28.0,31.0,90.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,32.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,28.0,1.eng Manchester City,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
155,Fabinho,0,0,,,51.0,57.0,89.5,3.0,2.0,2,0.0,1,4.0,2.0,0.0,64.0,0.0,0.0,,2,0,0,0,1,2,0.0,0.0,0,1.0,6.0,MF,28.0,1.eng Liverpool,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
156,Alex Telles,0,0,,,33.0,42.0,78.6,2.0,1.0,2,0.0,0,2.0,1.0,0.0,46.0,0.0,0.0,,1,0,0,3,0,2,0.0,0.0,0,1.0,1.0,DF,29.0,1.es Sevilla,2,1,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
157,Bruno Guimarães,5,2,0.0,0.0,43.0,54.0,79.6,0.0,0.0,0,1.0,0,0.0,0.0,0.0,67.0,2.0,2.0,100.0,2,2,0,3,0,0,0.0,0.0,0,1.0,0.0,MF,24.0,1.eng Newcastle Utd,2,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Brazil
158,Pedro,4,1,0.0,0.0,10.0,13.0,76.9,2.0,1.0,2,0.0,1,3.0,0.0,0.0,25.0,0.0,0.0,,2,1,0,0,1,2,0.0,0.0,0,0.0,1.0,FW,24.0,1.br Flamengo,2,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
159,Everton Ribeiro,0,0,,,15.0,18.0,83.3,1.0,1.0,0,0.0,0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0,0.0,0.0,MF,33.0,1.br Flamengo,1,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
160,Wéverton,0,0,,,3.0,5.0,60.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,34.0,1.br Palmeiras,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil
161,Diogo Costa,0,0,,,113.0,160.0,70.6,1.0,0.0,0,0.0,0,1.0,4.0,1.0,170.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,GK,22.0,1.pt Porto,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
162,Rúben Dias,1,0,0.0,,248.0,274.0,90.5,4.0,0.0,4,2.0,3,7.0,9.0,0.0,293.0,0.0,0.0,,4,2,0,0,3,4,0.0,0.0,0,5.0,3.0,DF,25.0,1.eng Manchester City,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Portugal
163,Pepe,3,1,0.33,1.0,243.0,295.0,82.4,5.0,3.0,0,6.0,6,11.0,11.0,0.0,331.0,1.0,1.0,100.0,3,5,1,1,6,0,0.0,0.0,0,9.0,5.0,DF,39.0,1.pt Porto,4,4,360.0,4.0,1.0,0.25,0.0,0.0,1.0,0.25,0.0,0.0,0.0,Portugal
164,Bruno Fernandes,7,2,0.14,0.5,188.0,233.0,80.7,4.0,0.0,3,7.0,2,6.0,4.0,0.0,272.0,3.0,6.0,50.0,2,8,1,26,2,3,0.0,0.0,0,2.0,8.0,"FW,MF",27.0,1.eng Manchester Utd,4,4,356.0,4.0,2.0,0.51,3.0,0.76,1.0,0.25,1.0,1.0,0.0,Portugal
165,Bernardo Silva,1,0,0.0,,256.0,292.0,87.7,2.0,1.0,2,3.0,2,4.0,0.0,0.0,310.0,1.0,4.0,25.0,1,2,0,5,2,2,0.0,0.0,0,1.0,2.0,MF,27.0,1.eng Manchester City,5,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
166,João Félix,11,3,0.09,0.33,91.0,122.0,74.6,4.0,0.0,2,0.0,1,5.0,1.0,0.0,156.0,2.0,8.0,25.0,8,9,1,4,1,2,0.0,0.0,0,2.0,1.0,FW,22.0,1.es Atlético Madrid,4,4,331.0,3.7,1.0,0.27,2.0,0.54,1.0,0.27,0.0,1.0,0.0,Portugal
167,Rúben Neves,2,0,0.0,,235.0,257.0,91.4,2.0,0.0,1,3.0,3,5.0,5.0,0.0,275.0,0.0,0.0,,5,2,0,2,3,1,0.0,0.0,0,2.0,3.0,MF,25.0,1.eng Wolves,5,4,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Portugal
168,João Cancelo,2,1,0.0,0.0,221.0,271.0,81.5,7.0,4.0,3,1.0,2,9.0,8.0,0.0,315.0,4.0,11.0,36.4,2,4,1,15,2,3,0.0,0.0,0,10.0,1.0,DF,28.0,1.eng Manchester City,4,3,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
169,Cristiano Ronaldo,10,2,0.0,0.0,68.0,90.0,75.6,0.0,0.0,0,0.0,0,0.0,1.0,1.0,118.0,0.0,5.0,0.0,2,5,7,2,0,0,1.0,0.0,0,8.0,4.0,FW,37.0,1.eng Manchester Utd,5,3,290.0,3.2,1.0,0.31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Portugal
170,Raphaël Guerreiro,3,1,0.33,1.0,156.0,185.0,84.3,3.0,1.0,2,3.0,3,6.0,2.0,0.0,208.0,2.0,2.0,100.0,2,1,0,13,3,2,0.0,0.0,0,2.0,1.0,DF,28.0,1.de Dortmund,4,3,279.0,3.1,1.0,0.32,2.0,0.65,1.0,0.32,0.0,0.0,0.0,Portugal
171,Diogo Dalot,1,1,0.0,0.0,112.0,147.0,76.2,8.0,8.0,6,7.0,2,10.0,1.0,0.0,174.0,1.0,3.0,33.3,1,1,0,9,2,6,0.0,0.0,0,6.0,3.0,DF,23.0,1.eng Manchester Utd,3,3,258.0,2.9,0.0,0.0,2.0,0.7,0.0,0.0,0.0,0.0,0.0,Portugal
172,Otávio,3,2,0.0,0.0,98.0,127.0,77.2,7.0,3.0,7,0.0,1,8.0,1.0,0.0,147.0,0.0,0.0,,6,10,0,5,1,7,0.0,0.0,0,1.0,1.0,MF,27.0,1.pt Porto,3,3,196.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
173,William Carvalho,1,0,0.0,,156.0,170.0,91.8,6.0,1.0,5,2.0,0,6.0,3.0,0.0,183.0,0.0,0.0,,3,2,0,0,0,5,0.0,0.0,0,4.0,0.0,MF,30.0,1.es Betis,4,2,215.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
174,Gonçalo Ramos,7,5,0.43,0.6,25.0,31.0,80.6,1.0,1.0,1,0.0,0,1.0,2.0,0.0,56.0,0.0,2.0,0.0,2,3,3,0,0,1,0.0,0.0,0,4.0,6.0,"FW,MF",20.0,1.pt Benfica,4,2,152.0,1.7,3.0,1.78,1.0,0.59,3.0,1.78,0.0,0.0,0.0,Portugal
175,Vitinha,2,2,0.0,0.0,100.0,108.0,92.6,3.0,2.0,2,0.0,1,4.0,1.0,0.0,118.0,1.0,2.0,50.0,1,3,0,2,1,2,0.0,0.0,0,0.0,1.0,MF,22.0,1.fr Paris S-G,3,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Portugal
176,Ricardo Horta,3,2,0.33,0.5,31.0,46.0,67.4,2.0,1.0,1,1.0,1,3.0,0.0,0.0,55.0,0.0,0.0,,3,1,0,5,1,1,0.0,0.0,0,0.0,1.0,FW,27.0,1.pt Braga,3,1,119.0,1.3,1.0,0.76,0.0,0.0,1.0,0.76,0.0,0.0,0.0,Portugal
177,Danilo Pereira,0,0,,,68.0,78.0,87.2,2.0,2.0,2,1.0,3,5.0,3.0,1.0,87.0,1.0,1.0,100.0,1,2,0,0,3,2,0.0,0.0,0,5.0,1.0,DF,30.0,1.fr Paris S-G,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Portugal
178,António Silva,0,0,,,60.0,62.0,96.8,1.0,1.0,1,2.0,1,2.0,1.0,0.0,67.0,0.0,0.0,,2,0,0,0,1,1,0.0,0.0,0,2.0,4.0,DF,18.0,1.pt Benfica,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
179,João Mário,0,0,,,37.0,40.0,92.5,2.0,2.0,1,2.0,0,2.0,0.0,0.0,51.0,0.0,1.0,0.0,0,0,0,2,0,1,0.0,0.0,0,0.0,2.0,"FW,MF",29.0,1.pt Benfica,2,1,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
180,Matheus Nunes,1,0,0.0,,28.0,33.0,84.8,0.0,0.0,0,1.0,0,0.0,0.0,0.0,40.0,1.0,2.0,50.0,2,2,0,3,0,0,0.0,0.0,0,0.0,0.0,MF,23.0,1.eng Wolves,2,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
181,Nuno Mendes,0,0,,,29.0,32.0,90.6,0.0,0.0,0,1.0,2,2.0,0.0,0.0,37.0,1.0,2.0,50.0,0,2,0,2,2,0,0.0,0.0,0,1.0,0.0,DF,19.0,1.fr Paris S-G,1,1,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
182,Rafael Leão,5,2,0.4,1.0,32.0,47.0,68.1,0.0,0.0,0,0.0,1,1.0,0.0,0.0,65.0,6.0,9.0,66.7,3,1,0,6,1,0,0.0,0.0,0,1.0,0.0,FW,23.0,1.it Milan,5,0,88.0,1.0,2.0,2.05,0.0,0.0,2.0,2.05,0.0,0.0,0.0,Portugal
183,João Palhinha,1,0,0.0,,26.0,31.0,83.9,2.0,0.0,1,1.0,1,3.0,1.0,0.0,41.0,1.0,2.0,50.0,2,0,0,0,1,1,0.0,0.0,0,0.0,3.0,MF,26.0,1.eng Fulham,3,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
184,André Silva,0,0,,,9.0,11.0,81.8,0.0,0.0,0,0.0,0,0.0,0.0,0.0,14.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,1.0,2.0,FW,26.0,1.de RB Leipzig,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Portugal
185,Shūichi Gonda,0,0,,,68.0,113.0,60.2,0.0,0.0,0,0.0,0,0.0,1.0,1.0,124.0,0.0,0.0,,1,0,0,0,0,0,0.0,1.0,0,1.0,0.0,GK,33.0,1.jp S-Pulse,4,4,390.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
186,Maya Yoshida,0,0,,,198.0,232.0,85.3,4.0,1.0,4,6.0,3,7.0,24.0,0.0,276.0,1.0,2.0,50.0,3,4,0,0,3,4,0.0,0.0,0,10.0,7.0,DF,33.0,1.de Schalke 04,4,4,390.0,4.3,0.0,0.0,1.0,0.23,0.0,0.0,0.0,1.0,0.0,Japan
187,Daichi Kamada,6,1,0.0,0.0,83.0,104.0,79.8,7.0,3.0,3,3.0,0,7.0,3.0,0.0,139.0,3.0,4.0,75.0,1,1,3,5,0,3,0.0,0.0,0,3.0,2.0,"FW,MF",25.0,1.de Eint Frankfurt,4,4,322.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
188,Yuto Nagatomo,0,0,,,78.0,109.0,71.6,4.0,1.0,2,2.0,0,4.0,3.0,0.0,122.0,3.0,4.0,75.0,6,0,0,6,0,2,0.0,0.0,0,1.0,2.0,"MF,DF",35.0,1.jp FC Tokyo,4,4,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
189,Junya Ito,2,1,0.0,0.0,59.0,97.0,60.8,7.0,5.0,4,4.0,5,12.0,6.0,0.0,135.0,2.0,8.0,25.0,0,5,1,14,5,4,0.0,0.0,0,3.0,6.0,"MF,FW",29.0,1.fr Reims,4,3,324.0,3.6,0.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,0.0,Japan
190,Wataru Endo,6,1,0.0,0.0,155.0,192.0,80.7,8.0,3.0,4,8.0,3,11.0,6.0,0.0,241.0,1.0,5.0,20.0,7,9,0,2,3,4,0.0,0.0,0,8.0,8.0,MF,29.0,1.de Stuttgart,4,3,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Japan
191,Hidemasa Morita,3,1,0.0,0.0,129.0,157.0,82.2,0.0,0.0,0,9.0,3,3.0,4.0,0.0,194.0,0.0,3.0,0.0,4,1,0,3,3,0,0.0,0.0,0,5.0,7.0,MF,27.0,1.pt Sporting CP,3,3,285.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
192,Ko Itakura,3,1,0.0,0.0,98.0,111.0,88.3,9.0,3.0,5,1.0,4,13.0,16.0,0.0,152.0,0.0,2.0,0.0,5,0,0,0,4,5,0.0,0.0,0,0.0,2.0,DF,25.0,1.de M'Gladbach,3,3,270.0,3.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,2.0,0.0,Japan
193,Daizen Maeda,2,1,0.5,1.0,8.0,17.0,47.1,3.0,0.0,2,4.0,3,6.0,0.0,0.0,32.0,0.0,1.0,0.0,2,3,2,0,3,2,0.0,0.0,0,1.0,6.0,FW,24.0,1.sct Celtic,3,3,180.0,2.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,Japan
194,Ritsu Doan,4,3,0.5,0.67,36.0,56.0,64.3,6.0,1.0,5,4.0,3,9.0,2.0,0.0,94.0,4.0,8.0,50.0,3,4,0,9,3,5,0.0,0.0,0,1.0,4.0,FW,23.0,1.de Freiburg,4,2,217.0,2.4,2.0,0.83,0.0,0.0,2.0,0.83,0.0,0.0,0.0,Japan
195,Shogo Taniguchi,2,0,0.0,,72.0,85.0,84.7,1.0,0.0,0,2.0,1,2.0,10.0,0.0,105.0,0.0,0.0,,3,0,0,0,1,0,0.0,0.0,0,8.0,3.0,DF,30.0,1.jp Kawa Frontale,2,2,210.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Japan
196,Ao Tanaka,1,1,1.0,1.0,48.0,69.0,69.6,3.0,1.0,1,5.0,3,6.0,2.0,0.0,85.0,0.0,1.0,0.0,1,1,0,2,3,1,0.0,0.0,0,3.0,1.0,MF,23.0,2.de Düsseldorf,3,2,171.0,1.9,1.0,0.53,0.0,0.0,1.0,0.53,0.0,0.0,0.0,Japan
197,Takefusa Kubo,0,0,,,6.0,11.0,54.5,1.0,0.0,1,3.0,0,1.0,0.0,0.0,22.0,0.0,0.0,,2,2,1,0,0,1,0.0,0.0,0,1.0,1.0,FW,21.0,1.es Real Sociedad,2,2,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
198,Takehiro Tomiyasu,0,0,,,73.0,103.0,70.9,0.0,0.0,0,2.0,0,0.0,7.0,1.0,117.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,6.0,4.0,"DF,MF",23.0,1.eng Arsenal,3,1,187.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
199,Hiroki Sakai,1,0,0.0,,28.0,47.0,59.6,5.0,2.0,4,2.0,1,6.0,8.0,0.0,70.0,0.0,2.0,0.0,3,1,0,2,1,4,0.0,0.0,0,3.0,8.0,"MF,DF",32.0,1.jp Urawa Reds,2,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
200,Yuki Soma,3,0,0.0,,11.0,19.0,57.9,2.0,0.0,0,0.0,0,2.0,0.0,0.0,27.0,1.0,2.0,50.0,2,3,0,6,0,0,0.0,0.0,0,0.0,0.0,"FW,MF",25.0,1.jp Grampus,1,1,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
201,Miki Yamane,0,0,,,24.0,33.0,72.7,1.0,0.0,0,2.0,2,3.0,0.0,0.0,38.0,1.0,1.0,100.0,2,1,0,2,2,0,0.0,0.0,0,0.0,1.0,"DF,MF",28.0,1.jp Kawa Frontale,1,1,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Japan
202,Ayase Ueda,0,0,,,7.0,12.0,58.3,0.0,0.0,0,1.0,0,0.0,2.0,0.0,23.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,FW,23.0,1.be Cercle Brugge,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
203,Takuma Asano,8,2,0.13,0.5,21.0,28.0,75.0,0.0,0.0,0,0.0,1,1.0,1.0,0.0,49.0,0.0,1.0,0.0,4,0,2,1,1,0,0.0,0.0,0,1.0,9.0,FW,27.0,1.de Bochum,4,0,165.0,1.8,1.0,0.55,0.0,0.0,1.0,0.55,0.0,0.0,0.0,Japan
204,Kaoru Mitoma,1,1,0.0,0.0,50.0,70.0,71.4,7.0,3.0,2,4.0,2,9.0,5.0,0.0,100.0,2.0,5.0,40.0,3,1,0,0,2,2,0.0,0.0,0,2.0,3.0,MF,25.0,1.eng Brighton,4,0,165.0,1.8,0.0,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,Japan
205,Takumi Minamino,2,1,0.0,0.0,14.0,22.0,63.6,2.0,2.0,1,0.0,0,2.0,1.0,0.0,31.0,0.0,0.0,,1,0,0,3,0,1,0.0,0.0,0,0.0,2.0,FW,27.0,1.fr Monaco,3,0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
206,Hiroki Ito,0,0,,,58.0,63.0,92.1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,64.0,0.0,0.0,,3,0,0,0,0,0,0.0,0.0,0,1.0,0.0,DF,23.0,1.de Stuttgart,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan
207,Kalidou Koulibaly,2,1,0.5,1.0,156.0,205.0,76.1,12.0,7.0,9,4.0,2,14.0,30.0,0.0,261.0,0.0,0.0,,3,3,0,0,2,9,0.0,0.0,0,11.0,5.0,DF,30.0,1.eng Chelsea,4,4,360.0,4.0,1.0,0.25,0.0,0.0,1.0,0.25,0.0,1.0,0.0,Senegal
208,Edouard Mendy,0,0,,,88.0,120.0,73.3,0.0,0.0,0,1.0,0,0.0,3.0,1.0,127.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,3.0,1.0,GK,30.0,1.eng Chelsea,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
209,Youssouf Sabaly,2,1,0.0,0.0,189.0,219.0,86.3,6.0,3.0,6,1.0,4,10.0,9.0,0.0,256.0,4.0,9.0,44.4,3,12,0,7,4,6,0.0,0.0,0,4.0,3.0,DF,29.0,1.es Betis,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
210,Ismaila Sarr,10,1,0.0,0.0,52.0,81.0,64.2,4.0,2.0,2,2.0,2,6.0,1.0,0.0,132.0,9.0,19.0,47.4,3,17,3,8,2,2,1.0,0.0,0,8.0,8.0,"FW,MF",24.0,2.eng Watford,4,4,344.0,3.8,1.0,0.26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Senegal
211,Abdou Diallo,1,0,0.0,,139.0,186.0,74.7,2.0,2.0,2,1.0,1,3.0,10.0,0.0,210.0,0.0,0.0,,3,0,0,3,1,2,0.0,0.0,0,7.0,6.0,DF,26.0,1.de RB Leipzig,4,4,331.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
212,Boulaye Dia,8,3,0.13,0.33,39.0,53.0,73.6,1.0,0.0,0,1.0,1,2.0,3.0,0.0,83.0,1.0,4.0,25.0,3,3,2,1,1,0,0.0,0.0,0,5.0,7.0,FW,25.0,1.it Salernitana,4,4,318.0,3.5,1.0,0.28,0.0,0.0,1.0,0.28,0.0,1.0,0.0,Senegal
213,Ismail Jakobs,1,0,0.0,,107.0,156.0,68.6,0.0,0.0,0,3.0,4,4.0,14.0,0.0,187.0,0.0,1.0,0.0,3,6,0,18,4,0,0.0,0.0,0,8.0,3.0,DF,22.0,1.fr Monaco,4,3,278.0,3.1,0.0,0.0,1.0,0.32,0.0,0.0,0.0,1.0,0.0,Senegal
214,Nampalys Mendy,2,0,0.0,,141.0,159.0,88.7,4.0,2.0,4,4.0,3,7.0,3.0,0.0,182.0,1.0,1.0,100.0,5,2,0,2,3,4,0.0,0.0,0,0.0,1.0,MF,29.0,1.eng Leicester City,4,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Senegal
215,Idrissa Gana Gueye,4,1,0.0,0.0,107.0,133.0,80.5,2.0,0.0,1,3.0,5,7.0,3.0,0.0,158.0,1.0,2.0,50.0,4,1,0,15,5,1,0.0,0.0,0,2.0,3.0,MF,32.0,1.eng Everton,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Senegal
216,Krépin Diatta,3,1,0.0,0.0,60.0,73.0,82.2,0.0,0.0,0,1.0,0,0.0,0.0,0.0,90.0,1.0,3.0,33.3,4,2,2,4,0,0,0.0,0.0,0,2.0,1.0,"FW,MF",23.0,1.fr Monaco,3,3,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
217,Pathé Ciss,1,0,0.0,,46.0,57.0,80.7,3.0,0.0,3,1.0,2,5.0,4.0,0.0,77.0,1.0,3.0,33.3,4,0,0,0,2,3,0.0,0.0,0,5.0,0.0,MF,28.0,1.es Rayo Vallecano,3,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Senegal
218,Iliman Ndiaye,2,0,0.0,,25.0,32.0,78.1,0.0,0.0,0,2.0,1,1.0,0.0,0.0,44.0,6.0,8.0,75.0,0,1,0,2,1,0,0.0,0.0,0,0.0,3.0,"FW,MF",22.0,2.eng Sheffield Utd,3,2,135.0,1.5,0.0,0.0,1.0,0.67,0.0,0.0,0.0,0.0,0.0,Senegal
219,Pape Gueye,4,2,0.0,0.0,45.0,62.0,72.6,4.0,2.0,2,2.0,2,6.0,2.0,0.0,81.0,0.0,1.0,0.0,3,3,0,1,2,2,0.0,0.0,0,5.0,3.0,MF,23.0,1.fr Marseille,3,1,153.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
220,Pape Abou Cissé,0,0,,,28.0,37.0,75.7,0.0,0.0,0,2.0,2,2.0,6.0,0.0,49.0,1.0,1.0,100.0,1,0,0,0,2,0,0.0,0.0,0,2.0,3.0,DF,26.0,1.gr Olympiacos,3,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
221,Famara Diedhiou,3,1,0.33,1.0,10.0,14.0,71.4,0.0,0.0,0,0.0,0,0.0,2.0,0.0,25.0,0.0,1.0,0.0,2,2,1,0,0,0,0.0,0.0,0,5.0,4.0,FW,29.0,1.tr Alanyaspor,2,1,92.0,1.0,1.0,0.98,0.0,0.0,1.0,0.98,0.0,0.0,0.0,Senegal
222,Cheikhou Kouyaté,0,0,,,19.0,23.0,82.6,0.0,0.0,0,2.0,2,2.0,4.0,0.0,35.0,1.0,1.0,100.0,1,1,0,2,2,0,0.0,0.0,0,1.0,2.0,MF,32.0,1.eng Nott'ham Forest,1,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
223,Bamba Dieng,4,1,0.25,1.0,9.0,16.0,56.3,2.0,1.0,1,2.0,0,2.0,0.0,0.0,33.0,0.0,2.0,0.0,5,3,0,1,0,1,0.0,0.0,0,2.0,8.0,FW,22.0,1.fr Marseille,4,0,100.0,1.1,1.0,0.9,0.0,0.0,1.0,0.9,0.0,0.0,0.0,Senegal
224,Pape Matar Sarr,4,0,0.0,,36.0,43.0,83.7,3.0,1.0,2,1.0,0,3.0,2.0,0.0,54.0,0.0,2.0,0.0,0,1,0,5,0,2,0.0,0.0,0,1.0,0.0,MF,19.0,1.eng Tottenham,2,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
225,Nicolas Jackson,0,0,,,9.0,10.0,90.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,11.0,0.0,0.0,,1,0,0,0,0,0,0.0,0.0,0,0.0,2.0,FW,20.0,1.es Villarreal,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
226,Fodé Ballo-Touré,0,0,,,5.0,8.0,62.5,0.0,0.0,0,1.0,0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0,1.0,0.0,DF,25.0,1.it Milan,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Senegal
227,Aziz Behich,2,0,0.0,,152.0,203.0,74.9,8.0,5.0,3,6.0,3,11.0,12.0,0.0,251.0,8.0,14.0,57.1,3,3,0,5,3,3,0.0,0.0,0,2.0,2.0,DF,31.0,1.sct Dundee United,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Australia
228,Aaron Mooy,1,0,0.0,,170.0,217.0,78.3,9.0,6.0,6,6.0,3,12.0,9.0,0.0,256.0,2.0,3.0,66.7,4,1,0,10,3,6,0.0,0.0,0,2.0,3.0,MF,31.0,1.sct Celtic,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Australia
