,Player,Sh,SoT,G/Sh,G/SoT,Cmp,Att_x,Cmp%,Tkl,Tkl,TklW_x,Blocks,Int_x,Tkl+Int,Clr,Err,Touches,Succ,Att_y,Succ%,Fls,Fld,Off,Crs,Int_y,TklW_y,PKwon,PKcon,OG,Won,Lost,Pos,Age,Club,MP,Starts,Min,90s,Gls,Gls,Ast,Ast,G-PK,G-PK,PK,CrdY,CrdR,Team
38,Kingsley Coman,1,0,0.0,,56.0,72.0,77.8,3.0,1.0,2,3.0,2,5.0,1.0,0.0,102.0,6.0,11.0,54.5,1,2,0,13,2,2,0.0,0.0,0,2.0,4.0,"FW,MF",26.0,1.de Bayern Munich,6,1,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
39,Eduardo Camavinga,0,0,,,88.0,101.0,87.1,14.0,4.0,9,4.0,3,17.0,6.0,0.0,141.0,1.0,6.0,16.7,2,8,0,2,3,9,0.0,0.0,0,2.0,0.0,DF,19.0,1.es Real Madrid,2,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
40,Axel Disasi,1,0,0.0,,61.0,78.0,78.2,3.0,0.0,2,0.0,3,6.0,4.0,0.0,91.0,1.0,2.0,50.0,0,1,0,2,3,2,0.0,0.0,0,4.0,0.0,DF,24.0,1.fr Monaco,3,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
41,Steve Mandanda,0,0,,,19.0,31.0,61.3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,32.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,GK,37.0,1.fr Rennes,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
42,Benjamin Pavard,0,0,,,82.0,90.0,91.1,0.0,0.0,0,3.0,1,1.0,0.0,0.0,94.0,0.0,0.0,,0,0,0,1,1,0,0.0,0.0,0,0.0,0.0,DF,26.0,1.de Bayern Munich,1,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
43,Mattéo Guendouzi,0,0,,,27.0,33.0,81.8,1.0,0.0,1,0.0,0,1.0,0.0,0.0,37.0,0.0,0.0,,0,1,0,0,0,1,0.0,0.0,0,1.0,0.0,"FW,MF",23.0,1.fr Marseille,1,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
44,Jordan Veretout,0,0,,,33.0,36.0,91.7,2.0,1.0,0,0.0,0,2.0,2.0,0.0,43.0,0.0,0.0,,2,0,0,0,0,0,0.0,0.0,0,0.0,2.0,MF,29.0,1.fr Marseille,1,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
45,Lucas Hernández,0,0,,,5.0,10.0,50.0,1.0,1.0,1,0.0,0,1.0,0.0,0.0,10.0,0.0,0.0,,0,0,0,1,0,1,0.0,0.0,0,0.0,0.0,DF,26.0,1.de Bayern Munich,1,1,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
46,Marcus Thuram,1,0,0.0,,27.0,40.0,67.5,3.0,0.0,2,2.0,0,3.0,2.0,0.0,74.0,6.0,12.0,50.0,3,5,1,1,0,2,0.0,0.0,0,8.0,9.0,"FW,MF",24.0,1.de M'Gladbach,5,0,151.0,1.7,0.0,0.0,2.0,1.19,0.0,0.0,0.0,1.0,0.0,France
47,William Saliba,0,0,,,37.0,37.0,100.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,38.0,1.0,1.0,100.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,DF,21.0,1.eng Arsenal,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,France
48,Joško Gvardiol,2,1,0.5,1.0,464.0,519.0,89.4,9.0,5.0,6,8.0,11,20.0,37.0,0.0,602.0,1.0,2.0,50.0,8,6,0,1,11,6,0.0,0.0,0,3.0,5.0,DF,20.0,1.de RB Leipzig,7,7,690.0,7.7,1.0,0.13,0.0,0.0,1.0,0.13,0.0,0.0,0.0,Croatia
49,Dominik Livaković,0,0,,,194.0,228.0,85.1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,245.0,0.0,0.0,,1,0,0,0,0,0,0.0,1.0,0,1.0,0.0,GK,27.0,1.hr Dinamo Zagreb,7,7,690.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
50,Ivan Perišić,16,4,0.06,0.25,202.0,292.0,69.2,7.0,5.0,4,9.0,7,14.0,12.0,0.0,378.0,6.0,13.0,46.2,10,0,3,27,7,4,0.0,0.0,0,17.0,14.0,"FW,DF",33.0,1.eng Tottenham,7,7,669.0,7.4,1.0,0.13,3.0,0.4,1.0,0.13,0.0,0.0,0.0,Croatia
51,Luka Modrić,6,4,0.0,0.0,465.0,551.0,84.4,16.0,7.0,10,4.0,10,26.0,3.0,0.0,613.0,6.0,16.0,37.5,13,15,1,33,10,10,0.0,0.0,0,3.0,4.0,MF,36.0,1.es Real Madrid,7,7,653.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
52,Mateo Kovačić,3,1,0.0,0.0,415.0,460.0,90.2,24.0,4.0,17,4.0,4,28.0,5.0,0.0,524.0,11.0,20.0,55.0,3,11,0,3,4,17,0.0,0.0,0,4.0,2.0,MF,28.0,1.eng Chelsea,7,7,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Croatia
53,Andrej Kramarić,10,4,0.2,0.5,153.0,176.0,86.9,3.0,0.0,2,6.0,0,3.0,0.0,0.0,215.0,4.0,8.0,50.0,1,4,2,6,0,2,0.0,0.0,0,0.0,4.0,"FW,MF",30.0,1.de Hoffenheim,7,7,474.0,5.3,2.0,0.38,0.0,0.0,2.0,0.38,0.0,0.0,0.0,Croatia
54,Josip Juranović,1,0,0.0,,318.0,405.0,78.5,12.0,8.0,8,5.0,3,15.0,15.0,0.0,461.0,1.0,4.0,25.0,1,6,0,24,3,8,0.0,0.0,0,2.0,4.0,DF,26.0,1.sct Celtic,6,6,600.0,6.7,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,Croatia
55,Dejan Lovren,4,0,0.0,,405.0,460.0,88.0,7.0,3.0,2,7.0,6,13.0,29.0,0.0,516.0,0.0,0.0,,2,5,1,3,6,2,0.0,0.0,0,17.0,6.0,DF,32.0,1.ru Zenit,6,6,600.0,6.7,0.0,0.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,Croatia
56,Marcelo Brozović,4,2,0.0,0.0,466.0,530.0,87.9,13.0,3.0,7,13.0,4,17.0,7.0,0.0,594.0,3.0,8.0,37.5,12,11,0,4,4,7,0.0,0.0,0,6.0,4.0,MF,29.0,1.it Inter,6,6,552.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Croatia
57,Borna Sosa,2,0,0.0,,220.0,278.0,79.1,14.0,10.0,6,4.0,2,16.0,18.0,0.0,336.0,2.0,4.0,50.0,4,2,0,21,2,6,0.0,0.0,0,4.0,4.0,DF,24.0,1.de Stuttgart,5,5,424.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
58,Marko Livaja,6,4,0.17,0.25,35.0,58.0,60.3,2.0,1.0,2,1.0,1,3.0,1.0,0.0,83.0,0.0,2.0,0.0,6,3,1,1,1,2,0.0,0.0,0,4.0,5.0,FW,28.0,1.hr Hajduk Split,6,3,241.0,2.7,1.0,0.37,1.0,0.37,1.0,0.37,0.0,0.0,0.0,Croatia
59,Mario Pašalić,3,0,0.0,,76.0,95.0,80.0,7.0,3.0,5,6.0,3,10.0,3.0,0.0,132.0,0.0,4.0,0.0,4,1,2,1,3,5,0.0,0.0,0,7.0,7.0,"FW,MF",27.0,1.it Atalanta,7,2,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
60,Bruno Petković,1,1,1.0,1.0,40.0,75.0,53.3,6.0,0.0,4,3.0,0,6.0,0.0,0.0,102.0,2.0,4.0,50.0,3,11,0,1,0,4,0.0,0.0,0,8.0,13.0,FW,27.0,1.hr Dinamo Zagreb,6,1,234.0,2.6,1.0,0.38,0.0,0.0,1.0,0.38,0.0,1.0,0.0,Croatia
61,Nikola Vlašić,5,1,0.0,0.0,45.0,55.0,81.8,1.0,0.0,1,2.0,1,2.0,0.0,0.0,81.0,3.0,9.0,33.3,4,6,0,4,1,1,0.0,0.0,0,2.0,6.0,"FW,MF",24.0,1.it Torino,6,1,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Croatia
